,LotFrontage,MasVnrArea,GarageYrBlt,Alley,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature
0,65.0,196.0,2003.0,Grvl,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
1,80.0,0.0,1976.0,Grvl,None,Gd,TA,Gd,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
2,68.0,162.0,2001.0,Grvl,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
3,60.0,0.0,1998.0,Grvl,None,TA,Gd,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
4,84.0,350.0,2000.0,Grvl,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,missing
5,85.0,0.0,1993.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,Shed
6,75.0,186.0,2004.0,Grvl,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
7,70.04995836802665,240.0,1973.0,Grvl,Stone,Gd,TA,Mn,ALQ,BLQ,SBrkr,TA,Attchd,RFn,TA,TA,missing,missing,Shed
8,51.0,0.0,1931.0,Grvl,None,TA,TA,No,Unf,Unf,FuseF,TA,Detchd,Unf,Fa,TA,missing,missing,missing
9,50.0,0.0,1939.0,Grvl,None,TA,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,Gd,TA,missing,missing,missing
10,70.0,0.0,1965.0,Grvl,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
11,85.0,286.0,2005.0,Grvl,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA,missing,missing,missing
12,70.04995836802665,0.0,1962.0,Grvl,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
13,91.0,306.0,2006.0,Grvl,Stone,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
14,70.04995836802665,212.0,1960.0,Grvl,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA,missing,GdWo,missing
15,51.0,0.0,1991.0,Grvl,None,TA,TA,No,Unf,Unf,FuseA,Gd,Detchd,Unf,TA,TA,missing,GdPrv,missing
16,70.04995836802665,180.0,1970.0,Grvl,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA,missing,missing,Shed
17,72.0,0.0,1967.0,Grvl,None,TA,TA,No,Unf,Unf,SBrkr,Gd,CarPort,Unf,TA,TA,missing,missing,Shed
18,66.0,0.0,2004.0,Grvl,None,TA,TA,No,GLQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
19,70.0,0.0,1958.0,Grvl,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA,missing,MnPrv,missing
20,101.0,380.0,2005.0,Grvl,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA,missing,missing,missing
21,57.0,0.0,1930.0,Grvl,None,TA,TA,No,Unf,Unf,FuseF,Gd,Attchd,Unf,TA,TA,missing,GdPrv,missing
22,75.0,281.0,2002.0,Grvl,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
23,44.0,0.0,1976.0,Grvl,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA,missing,missing,missing
24,70.04995836802665,0.0,1968.0,Grvl,None,TA,TA,Mn,Rec,ALQ,SBrkr,TA,Attchd,Unf,TA,TA,missing,MnPrv,missing
25,110.0,640.0,2007.0,Grvl,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA,missing,missing,missing
26,60.0,0.0,2005.0,Grvl,None,TA,TA,Mn,BLQ,Rec,SBrkr,Gd,Detchd,Unf,TA,TA,missing,missing,missing
